,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,소속기업부,지정자문인
,086220,네추럴FNP,031007,기타 식품 제조업,"10,573,865","5,286,932,500","500",원(KRW),043-211-1056,충청북도 청원군 오창읍 양청송대길 39(송대리) ,일반 기업부,하나금융투자㈜
,229500,노브메타파마,137001,자연과학 및 공학 연구개발업,"8,962,867","4,481,433,500","500",원(KRW),02-538-1893,"서울특별시 강남구 언주로 727 13층 (논현동, 트리스빌딩)",일반 기업부,엔에이치투자증권주식회사
,323350,다원넥스뷰,032703,사진장비 및 광학기기 제조업,"700,000","350,000,000","500",원(KRW),031-8085-7850,경기도 안산시 단원구 시화호수로 485 ,일반 기업부,신한금융투자㈜
,086080,다이노나,137001,자연과학 및 공학 연구개발업,"15,376,481","7,688,240,500","500",원(KRW),02-578-0810,"서울특별시 송파구 올림픽로43길 88 아산생명과학 11층(풍납동, 서울아산병원) ",일반 기업부,한국투자증권㈜
,271850,다이오진,137001,자연과학 및 공학 연구개발업,"3,000,000","300,000,000","100",원(KRW),031-701-6488,"경기도 성남시 분당구 판교로 255번길 9-22, 302호(삼평동, 우림더블유시티) ",일반 기업부,IBK투자증권㈜
,178600,대동고려삼,031007,기타 식품 제조업,"4,449,600","2,224,800,000","500",원(KRW),041-753-8803,충청남도 금산군  군북면 군북로 586 ,일반 기업부,대신증권㈜
,311840,대원모방,031302,직물직조 및 직물제품 제조업,"1,593,280","796,640,000","500",원(KRW),043-275-9181,충청북도 청주시 흥덕구 공단로126번길 37 ,일반 기업부,교보증권㈜
,114920,대주이엔티,032401,1차 철강 제조업,"3,469,500","1,734,750,000","500",원(KRW),070-7015-1337,인천광역시 중구 신포로 4 (사동) 4층,일반 기업부,현대차증권주식회사
,302920,더콘텐츠온,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","2,599,980","1,299,990,000","500",원(KRW),02-2183-1930,"서울특별시 강남구 테헤란로 322 동관 601호, 602호, 603호, 604호, 605호(역삼동, 한신인터밸리24) ",일반 기업부,IBK투자증권㈜
,199150,데이터스트림즈,105802,소프트웨어 개발 및 공급업,"4,097,598","2,048,799,000","500",원(KRW),02-3473-9077,"서울특별시 서초구 사임당로 28 6층 (서초동, 청호나이스)",일반 기업부,KB증권㈜
,270020,두원석재,032309,기타 비금속 광물제품 제조업,"3,112,607","1,556,303,500","500",원(KRW),033-761-8361,강원도 원주시 귀래면 귀래리 317 주식회사 두원석재,일반 기업부,SK증권㈜
,176750,듀켐바이오,032102,의약품 제조업,"8,858,687","4,429,343,500","500",원(KRW),023324868,서울특별시 서대문구 경기대로 47진양빌딩 4층 동관 ,일반 기업부,엔에이치투자증권주식회사
,220110,드림티엔터테인먼트,137309,"그외 기타 전문, 과학 및 기술 서비스업","10,664,262","2,132,852,400","200",원(KRW),02-3452-2525,"서울특별시 송파구 법원로 114 B동 511호(문정동,엠스테이트)",일반 기업부,이베스트투자증권㈜
,163430,디피코,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","3,347,750","1,673,875,000","500",원(KRW),031-688-1500,경기도 군포시 공단로140번길 47-7 ,일반 기업부,이베스트투자증권㈜
,232680,라온테크,032902,특수 목적용 기계 제조업,"4,318,205","2,159,102,500","500",원(KRW),031-201-0005,경기도 수원시 권선구 산업로156번길 88-4(고색동) ,일반 기업부,KB증권㈜
,285770,라이프사이언스테크놀로지,105802,소프트웨어 개발 및 공급업,"3,193,000","1,596,500,000","500",원(KRW),070-8620-8020,"서울특별시 강서구 양천로 401 B-1207(가양동, 강서한강자이타워) ",일반 기업부,하이투자증권㈜
,200350,래몽래인,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","3,184,674","1,592,337,000","500",원(KRW),027619978,"서울특별시 강남구 언주로 729 12층(논현동, 마스터스729빌딩)",일반 기업부,SK증권㈜
,092590,럭스피아,032601,반도체 제조업,"7,291,098","3,645,549,000","500",원(KRW),070-8671-2500,"경기도 수원시 영통구 광교로 109 10층(이의동, 나노소자특화팹센터) ",일반 기업부,신한금융투자㈜
,238500,로보쓰리,137309,"그외 기타 전문, 과학 및 기술 서비스업","4,682,166","2,341,083,000","500",원(KRW),02-544-9145,서울특별시 강남구 봉은사로18길 85BM빌딩 2층 ,일반 기업부,하이투자증권㈜
,162120,루켄테크놀러지스,032809,기타 전기장비 제조업,"1,641,260","820,630,000","500",원(KRW),070-8633-8009,경기도 이천시 마장면 중부대로2670번길 94 ,일반 기업부,엔에이치투자증권주식회사
,302550,리메드,032701,의료용 기기 제조업,"5,204,956","2,602,478,000","500",원(KRW),042-934-5560,"대전광역시 유성구 테크노2로 187 (용산동, 미건테크노월드2 301호) ",일반 기업부,한국투자증권㈜
,200580,메디쎄이,032701,의료용 기기 제조업,"3,478,159","1,739,079,500","500",원(KRW),031-879-0414,충청북도 제천시 한방엑스포로 129 (제천시 왕암동 1389),일반 기업부,엔에이치투자증권주식회사
,233250,메디안디노스틱,032103,의료용품 및 기타 의약 관련제품 제조업,"1,746,534","1,083,767,000","500",원(KRW),033-244-0100,강원도 춘천시 동내면 순환대로 878 ,일반 기업부,유진투자증권㈜
,236340,메디젠휴먼케어,137001,자연과학 및 공학 연구개발업,"2,304,892","1,152,446,000","500",원(KRW),02-555-9808,서울특별시 강남구 테헤란로 223 큰길타워빌딩 20층,일반 기업부,한국투자증권㈜
,267060,명진홀딩스,031002,수산물 가공 및 저장 처리업,"7,175,592","3,587,796,000","500",원(KRW),070-7561-9468,서울특별시 서초구 서초중앙로 41대성빌딩 9층 ,일반 기업부,하나금융투자㈜
,279600,미디어젠,105802,소프트웨어 개발 및 공급업,"3,680,381","1,840,190,500","500",원(KRW),02-6429-7100,"경기도 성남시 분당구 성남대로925번길 41, 4층(야탑동, 파인벤처빌딩) ",일반 기업부,교보증권㈜
,225850,미애부,074604,생활용품 도매업,"3,332,333","1,666,166,500","500",원(KRW),1577-1401,"경기도 성남시 중원구 갈마치로 215, 금강펜테리움IT타워 에이동-808 (상대원동) ",일반 기업부,IBK투자증권㈜
,214610,미코바이오메드,032701,의료용 기기 제조업,"12,199,116","6,099,558,000","500",원(KRW),070-5227-6000,"경기도 성남시 수정구 창업로 54 가동 3층, 4층(시흥동, LH기업성장센터)",일반 기업부,KB증권㈜
,281310,바이오시네틱스,137001,자연과학 및 공학 연구개발업,"2,618,890","1,309,445,000","500",원(KRW),02-2113-1285,"서울특별시 금천구 가산디지털2로 184, 708호(가산동, 벽산디지털밸리 2차) ",일반 기업부,키움증권㈜
,216400,바이오코아,137001,자연과학 및 공학 연구개발업,"6,905,676","3,452,838,000","500",원(KRW),02-2027-6200,서울특별시 금천구 디지털로9길 33 ,일반 기업부,교보증권㈜
,199290,바이오프로테크,032701,의료용 기기 제조업,"3,255,689","1,627,844,500","500",원(KRW),033-735-7720,강원도 원주시 문막읍 동화공단로 151-3(동화첨단의료기기산업단지) ,일반 기업부,엔에이치투자증권주식회사
,222160,바이옵트로,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","5,637,326","2,818,663,000","500",원(KRW),031-8005-5155,경기도 용인시 기흥구 탑실로58번길 14 ,일반 기업부,한국투자증권㈜
,206950,볼빅,033303,운동 및 경기용구 제조업,"4,183,333","2,091,666,500","500",원(KRW),,충청북도 음성군 대소면 대금로 628 ,일반 기업부,KB증권㈜
,126340,비나텍,032602,전자부품 제조업,"4,143,300","2,071,650,000","500",원(KRW),063-715-3020,전라북도 전주시 덕진구 운암로 15 ,일반 기업부,대신증권㈜
,215050,비엔디생활건강,032004,기타 화학제품 제조업,"2,121,666","212,166,600","100",원(KRW),02-552-8481,충청북도 음성군 생극면 생극산단길 31(주)비엔디생활건강 ,일반 기업부,KB증권㈜
,271780,비엔에프코퍼레이션,032402,1차 비철금속 제조업,"3,000,000","300,000,000","100",원(KRW),032-564-6612,인천광역시 서구 보듬로 176 ,일반 기업부,IBK투자증권㈜
,148780,비플라이소프트,105802,소프트웨어 개발 및 공급업,"4,745,720","2,372,860,000","500",원(KRW),02-3487-0215,"서울특별시 광진구 강변역로 2, 6층(구의동, 광진우체국) ",일반 기업부,한국투자증권㈜
,210120,빅텐츠,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","1,895,000","947,500,000","500",원(KRW),02-786-2245,서울특별시 마포구 상암산로 7616층 일부 ,일반 기업부,신한금융투자㈜
,067370,선바이오,032102,의약품 제조업,"7,670,540","3,835,270,000","500",원(KRW),031-423-5467,경기도 군포시 산본로 95- ,일반 기업부,하나금융투자㈜
,135270,세종머티리얼즈,032402,1차 비철금속 제조업,"7,146,051","3,573,025,500","500",원(KRW),031-491-1850,"경기도 안산시 단원구 성곡로 112 (성곡동, 반월공단 604블럭29롯트)",일반 기업부,
,258250,셀젠텍,105802,소프트웨어 개발 및 공급업,"3,919,548","1,959,774,000","500",원(KRW),042-822-9482,대전광역시 유성구 유성대로 579-4(구암동) ,일반 기업부,하이투자증권㈜
,210610,소프트캠프,105802,소프트웨어 개발 및 공급업,"4,467,252","2,233,626,000","500",원(KRW),031-697-4500,경기도 과천시 삼부골로 26 2층,일반 기업부,KB증권㈜
,185190,수프로,074602,산업용 농·축산물 및 동·식물 도매업,"3,695,450","1,847,725,000","500",원(KRW),02-6300-2444,서울특별시 서초구  강남대로 27 (양재동) aT센터 1301호,일반 기업부,IBK투자증권㈜
,258540,스템랩,137001,자연과학 및 공학 연구개발업,"1,737,990","868,995,000","500",원(KRW),02-2070-1177,서울특별시 성북구 안암로 145 고려대학교(자연계캠퍼스) 산학관 711호,일반 기업부,KB증권㈜
,260870,시그넷이브이,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","4,757,601","2,378,800,500","500",원(KRW),031-994-6115,전라남도 영광군 대마면 전기차로 49 ,일반 기업부,IBK투자증권㈜
,232830,시큐센,105802,소프트웨어 개발 및 공급업,"1,606,076","803,038,000","500",원(KRW),02-3497-6980,"서울특별시 서초구 반포대로 13, 2층(서초동, 아이티센빌딩) ",일반 기업부,신한금융투자㈜
,217320,썬테크,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","1,050,000","525,000,000","500",원(KRW),061-721-2222,전라남도 순천시 해룡면 율촌산단4로 101 ,일반 기업부,신영증권㈜
,236030,씨알푸드,031006,"곡물가공품, 전분 및 전분제품 제조업","1,980,000","990,000,000","500",원(KRW),043-645-4100,충청북도 제천시 바이오밸리1로 85 ,일반 기업부,엔에이치투자증권주식회사
,103660,씨앗,032004,기타 화학제품 제조업,"4,117,480","2,058,740,000","500",원(KRW),062-940-7200,광주광역시 광산구 평동산단로169번길 40(월전동) ,일반 기업부,대신증권㈜
,245450,씨앤에스링크,032604,통신 및 방송 장비 제조업,"1,579,960","789,980,000","500",원(KRW),070-8786-6458,경기도 성남시 분당구 방아로16번길 11 메카텍빌딩 3층,일반 기업부,하이투자증권㈜
,189330,씨이랩,105802,소프트웨어 개발 및 공급업,"2,237,020","1,118,510,000","500",원(KRW),02-2039-3147,서울특별시 강남구 언주로 6173층 ,일반 기업부,IBK투자증권㈜
,189540,씨티네트웍스,032604,통신 및 방송 장비 제조업,"2,415,990","1,207,995,000","500",원(KRW),041-742-0609,충청남도 논산시  연무읍 신화길 12 ,일반 기업부,하나금융투자㈜
,122050,아이엘사이언스,032804,전구 및 조명장치 제조업,"6,784,104","3,392,052,000","500",원(KRW),031-757-5100,경기도 성남시 중원구 마지로 123-1 아이엘밸리 ,일반 기업부,신영증권㈜
,149010,아이케이세미콘,032601,반도체 제조업,"3,120,000","1,560,000,000","500",원(KRW),02-3153-7090,"서울특별시 마포구 성암로 179 8층 (상암동,한샘상암)",일반 기업부,미래에셋대우(주)
,223220,아이피몬스터,105802,소프트웨어 개발 및 공급업,"5,393,630","539,363,000","100",원(KRW),031-714-9909,광주광역시 남구 송암로 60 광주 CGI센터 402호,일반 기업부,SK증권㈜
,149300,아퓨어스,032101,기초 의약물질 및 생물학적 제제 제조업,"27,065,584","13,532,792,000","500",원(KRW),031-683-0643,경기도 평택시 청북읍 한산길 44 ,일반 기업부,키움증권㈜
,251280,안지오랩,137001,자연과학 및 공학 연구개발업,"1,925,914","962,957,000","500",원(KRW),042-867-5785,대전광역시 유성구 테크노3로 65 ,일반 기업부,엔에이치투자증권주식회사
,271400,알로이스,032604,통신 및 방송 장비 제조업,"2,726,400","1,363,200,000","500",원(KRW),07086805501,경기도 성남시 중원구 양현로405번길 4-5 3층 ,일반 기업부,IBK투자증권㈜
,267810,앙츠,199501,컴퓨터 및 통신장비 수리업,"1,547,000","773,500,000","500",원(KRW),02-2677-9915,"서울특별시 영등포구 양산로 53  (양평동3가, 월드메르디앙비즈센터) 911호 ",일반 기업부,KB증권㈜
,266170,앤유엔터테인먼트,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","2,272,914","1,136,457,000","500",원(KRW),02-565-1676,"서울특별시 강남구 학동로82길 7 HYUN빌딩 (삼성동, HYUN빌딩4층)",일반 기업부,한국투자증권㈜
,224810,엄지하우스,064204,실내건축 및 건축마무리 공사업,"4,200,000","2,100,000,000","500",원(KRW),02-550-7840,서울특별시 강남구 테헤란로28길 25- ,일반 기업부,엔에이치투자증권주식회사
,208890,에듀파트너,168507,교육지원 서비스업,"1,990,820","1,990,820,000","1,000",원(KRW),02-6337-5410,"서울특별시 마포구 양화로 125, 8층(서교동,경남관광빌딩) ",일반 기업부,하이투자증권㈜
,270660,에브리봇,032805,가정용 기기 제조업,"1,123,380","561,690,000","500",원(KRW),070-4913-8805,경기도 성남시 분당구 판교역로 240 삼환하이펙스 에이동 1001호,일반 기업부,IBK투자증권㈜
,270210,에스알바이오텍,032004,기타 화학제품 제조업,"462,776","231,388,000","500",원(KRW),031-726-3134,경기도 성남시 중원구 둔촌대로 484 시콕스타워 B101호 ,일반 기업부,교보증권㈜
,260970,에스앤디,031007,기타 식품 제조업,"303,642","1,518,210,000","5,000",원(KRW),043-710-8000,충청북도 청주시 흥덕구 오송읍 오송생명4로 163 ,일반 기업부,유진투자증권㈜
,158300,에스에이티이엔지,032902,특수 목적용 기계 제조업,"3,210,000","1,605,000,000","500",원(KRW),031-433-4711,경기도 시흥시 군자천로21번길 66 (정왕동) ,일반 기업부,IBK투자증권㈜
,086460,에스엔피제네틱스,137001,자연과학 및 공학 연구개발업,"1,823,850","911,925,000","500",원(KRW),02-3273-1671,서울특별시 마포구 백범로 35 (신수동) 서강대학교 티이관 1007호,일반 기업부,하이투자증권㈜
,246250,에스엘에스바이오,137209,기타 과학기술 서비스업,"6,828,103","3,414,051,500","500",원(KRW),031-275-5522,경기도 수원시 영통구 창룡대로 260 광교센트럴비즈타워 7층,일반 기업부,교보증권㈜
,299670,에스엠비나,031401,봉제의복 제조업,"1,090,000","545,000,000","500",원(KRW),02-6953-7020,"서울특별시 마포구 마포대로 53, 비동 803호 (도화동, 마포트라팰리스) ",일반 기업부,IBK투자증권㈜
,217910,에스제이켐,032001,기초 화학물질 제조업,"12,990,522","1,299,052,200","100",원(KRW),041-881-9454,전라북도 익산시 왕궁면 무왕로 2243-23 ,크라우드펀딩 기업부,
,224020,에스케이씨에스,032202,플라스틱제품 제조업,"2,700,000","1,350,000,000","500",원(KRW),031-761-7703,경기도 광주시 초월읍 산수로554번길 47 ,일반 기업부,키움증권㈜
,203400,에이비온,137001,자연과학 및 공학 연구개발업,"12,396,976","6,198,488,000","500",원(KRW),02-6006-7657,"서울특별시 구로구 디지털로 242915호(구로동,한화비즈메트로 1차) ",일반 기업부,유진투자증권㈜
,234070,에이원알폼,147603,산업용 기계 및 장비 임대업,"3,533,326","1,766,663,000","500",원(KRW),031-8017-5305,충청북도 괴산군 괴산읍 대제산단3길 46 -,일반 기업부,엔에이치투자증권주식회사
,044990,에이치엔에스하이텍,032602,전자부품 제조업,"7,511,064","3,755,532,000","500",원(KRW),042-866-1300,대전광역시 유성구 테크노1로 62-7(관평동) ,일반 기업부,한국투자증권㈜
,207490,에이펙스인텍,032804,전구 및 조명장치 제조업,"3,600,000","1,800,000,000","500",원(KRW),054-976-7667,경상북도 칠곡군 가산면 인동가산로 619-9 ,일반 기업부,IBK투자증권㈜
,064850,에프앤가이드,116601,금융 지원 서비스업,"11,000,000","5,500,000,000","500",원(KRW),02-769-7700,서울특별시 강서구 마곡중앙2로 61 ,일반 기업부,엔에이치투자증권주식회사
,140610,엔솔바이오사이언스,137001,자연과학 및 공학 연구개발업,"8,617,530","4,308,765,000","500",원(KRW),042-939-4500,대전광역시 유성구 테크노10로 51(탑립동) ,일반 기업부,엔에이치투자증권주식회사
,224760,엔에스컴퍼니,064102,토목 건설업,"3,939,700","1,969,850,000","500",원(KRW),052-289-2888,경상북도 경주시 외동읍 구어2산단로 127 -,일반 기업부,IBK투자증권㈜
,276240,엘리비젼,032605,영상 및 음향기기 제조업,"5,174,400","2,587,200,000","500",원(KRW),032-576-3050,"인천광역시 남동구 논현고잔로 109번길 105, 비동 202호(고잔동) ",일반 기업부,신한금융투자㈜
,311060,엘에이티,032902,특수 목적용 기계 제조업,"1,125,740","562,870,000","500",원(KRW),03180195050,"경기도 수원시 권선구 서부로 1433-100, 수원산업2단지(고색동) ",일반 기업부,KB증권㈜
,058970,엠로,105802,소프트웨어 개발 및 공급업,"4,815,000","2,407,500,000","500",원(KRW),02-785-9848,"서울특별시 영등포구 당산로41길 11, 이동 5층(당산동4가, 당산에스케이브이1센터) ",일반 기업부,현대차증권주식회사
,225860,엠앤씨생명과학,032004,기타 화학제품 제조업,"11,358,092","1,135,809,200","100",원(KRW),031-731-1401,"경기도 성남시 중원구 갈마치로 215 A동 807호(상대원동, 금강펜테리움아이티타워)",일반 기업부,IBK투자증권㈜
,251960,엠에프엠코리아,031403,편조의복 제조업,"10,400,000","5,200,000,000","500",원(KRW),02-531-5780,"서울특별시 강남구 도곡로 204, 4층(도곡동, 동신빌딩) ",일반 기업부,한화투자증권㈜
,179720,옐로페이,105802,소프트웨어 개발 및 공급업,"11,850,000","5,925,000,000","500",원(KRW),02-6354-9115,"서울특별시 강남구 논현로168길 39301호(신사동, 원빌딩) ",일반 기업부,엔에이치투자증권주식회사
,278380,원바이오젠,032103,의료용품 및 기타 의약 관련제품 제조업,"2,166,560","1,083,280,000","500",원(KRW),054-462-7965,경상북도 구미시 1공단로5길 56(공단동) ,일반 기업부,교보증권㈜
,216280,원텍,032701,의료용 기기 제조업,"4,040,000","2,020,000,000","500",원(KRW),042-934-6802,대전광역시 유성구 테크노8로 64(용산동) ,일반 기업부,미래에셋대우(주)
,065370,위세아이텍,105802,소프트웨어 개발 및 공급업,"3,400,000","1,700,000,000","500",원(KRW),02-6246-1400,경기도 성남시 분당구 판교로 253 이노벨리C동 5층 ,일반 기업부,교보증권㈜
,140660,위월드,032604,통신 및 방송 장비 제조업,"2,487,252","1,243,626,000","500",원(KRW),042-630-0600,대전광역시 유성구  테크노7로 32-4 (용산동),일반 기업부,엔에이치투자증권주식회사
,121060,유니포인트,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","5,981,670","2,990,835,000","500",원(KRW),02-6676-5500,서울특별시 동작구 남부순환로 2049 (사당동 네오티스빌딩 2층) ,일반 기업부,IBK투자증권㈜
,084440,유비온,106309,기타 정보 서비스업,"2,997,107","1,498,553,500","500",원(KRW),02-3782-8771,서울특별시 구로구  디지털로34길 27 601호,일반 기업부,미래에셋대우(주)
,252370,유쎌,032004,기타 화학제품 제조업,"1,325,000","662,500,000","500",원(KRW),063-834-6877,전라북도 익산시 함열읍 익산대로78길 265 ,일반 기업부,미래에셋대우(주)
,221800,유투바이오,137209,기타 과학기술 서비스업,"1,900,510","950,255,000","500",원(KRW),1577-1338,서울특별시 송파구 거마로 65 (마천동),일반 기업부,KB증권㈜
,279060,이노벡스,032602,전자부품 제조업,"6,079,167","607,916,700","100",원(KRW),070-7707-0932,"경기도 수원시 영통구 청명남로 3 (영통동, 케이티빌딩 3층) ",일반 기업부,IBK투자증권㈜
,208850,이비테크,032809,기타 전기장비 제조업,"2,256,250","2,256,250,000","1,000",원(KRW),042-930-7501,대전광역시 유성구 테크노2로 170-9(용산동) ,일반 기업부,IBK투자증권㈜
,241510,이에스산업,032901,일반 목적용 기계 제조업,"5,983,000","2,991,500,000","500",원(KRW),041-424-8200,충청남도 천안시 서북구 성거읍 모전1길 354-43이에스산업(주) ,일반 기업부,KTB투자증권㈜
,101360,이엔드디,032004,기타 화학제품 제조업,"6,140,000","3,070,000,000","500",원(KRW),043-268-8588,충청북도 청주시 흥덕구 직지대로409번길 37 (송정동) ,일반 기업부,IBK투자증권㈜
,232530,이엠티,032802,일차전지 및 축전지 제조업,"10,044,804","5,022,402,000","500",원(KRW),070-7166-0203,충청북도 충주시 대소원면 첨단산업3로 85-1 ,일반 기업부,엔에이치투자증권주식회사
,211050,인카금융서비스,116602,보험 및 연금관련 서비스업,"4,493,990","2,246,995,000","500",원(KRW),02-2192-8916,서울특별시 성동구 성수이로7길 27 서울숲코오롱디지털타워 2층 ,일반 기업부,한국투자증권㈜
,240340,인터코스,032004,기타 화학제품 제조업,"3,346,323","1,673,161,500","500",원(KRW),032-815-8081,인천광역시 남동구 남동서로362번길 62 ,일반 기업부,KB증권㈜
,247300,인프라웨어테크놀러지,105802,소프트웨어 개발 및 공급업,"6,118,198","3,059,099,000","500",원(KRW),02-6003-8800,서울특별시 금천구 가산디지털1로 19대륭테크노타운18차 20층 ,일반 기업부,키움증권㈜
,230400,자비스,032701,의료용 기기 제조업,"3,558,916","1,779,458,000","500",원(KRW),031-740-3800,"경기도 성남시 중원구 사기막골로 177, 619(상대원동, 금강하이테크밸리) ",일반 기업부,IBK투자증권㈜
,120780,전우정밀,033003,자동차 신품 부품 제조업,"3,100,000","1,550,000,000","500",원(KRW),053-859-5404,경상북도 경산시 진량읍 공단8로 24 ,일반 기업부,유안타증권㈜
,066830,제노텍,032004,기타 화학제품 제조업,"5,599,037","2,799,518,500","500",원(KRW),042-862-8404,대전광역시 유성구 가정북로 26-69 ,일반 기업부,미래에셋대우(주)
,225220,제놀루션,032102,의약품 제조업,"3,146,893","1,573,446,500","500",원(KRW),0230108670,"서울특별시 송파구 법원로11길 11A동 506호(문정동, 문정현대지식산업센터) ",일반 기업부,교보증권㈜
,229000,젠큐릭스,032701,의료용 기기 제조업,"5,392,726","2,696,363,000","500",원(KRW),070-7508-2340,"서울특별시 구로구 디지털로 242402, 403, 404, 908, 910, 911호 ",일반 기업부,미래에셋대우(주)
,314130,지놈앤컴퍼니,032101,기초 의약물질 및 생물학적 제제 제조업,"8,173,197","4,086,598,500","500",원(KRW),031-628-0150,"경기도 성남시 분당구 판교로 253, A동 801, 802, 806호 ",일반 기업부,한국투자증권㈜
,299480,지앤이헬스케어,031309,기타 섬유제품 제조업,"11,100,743","1,110,074,300","100",원(KRW),1688-8845,"경기도 하남시 조정대로 150, 365호,366호,368호,370호,371호 ",일반 기업부,하나금융투자㈜
,135160,지오씨,032803,절연선 및 케이블 제조업,"6,811,112","3,405,556,000","500",원(KRW),062-973-6114,광주광역시 북구 첨단벤처로60번길 10(대촌동) ,일반 기업부,대신증권㈜
,233990,질경이,032004,기타 화학제품 제조업,"13,440,000","1,344,000,000","100",원(KRW),070-8952-5702,"서울특별시 서초구 사임당로 32 2층(서초동, 재우빌딩)",일반 기업부,하이투자증권㈜
,140290,청광종건,064102,토목 건설업,"10,555,100","5,277,550,000","500",원(KRW),02-3461-6393,서울특별시 강남구  언주로 550 ,일반 기업부,현대차증권주식회사
,220250,카이노스메드,137001,자연과학 및 공학 연구개발업,"14,066,238","7,033,119,000","500",원(KRW),02-567-7419,경기도 성남시 분당구 대왕판교로712번길 16한국파스퇴르연구소 4층 ,일반 기업부,IBK투자증권㈜
,205290,케미메디,137001,자연과학 및 공학 연구개발업,"8,159,148","4,079,574,000","500",원(KRW),02-3443-9252,경상북도 안동시 풍산읍 산업단지길 88 (재)경북바이오벤처프라자 3층 302호,일반 기업부,한화투자증권㈜
,327970,케어룸의료산업,032701,의료용 기기 제조업,"1,000,000","500,000,000","500",원(KRW),053-287-5757,경상북도 경산시 진량읍 공단4로 58 ,일반 기업부,IBK투자증권㈜
,189350,코셋,032604,통신 및 방송 장비 제조업,"4,000,000","2,000,000,000","500",원(KRW),062-975-8811,광주광역시 북구  첨단벤처로60번길 39 ,일반 기업부,IBK투자증권㈜
,136660,큐엠씨,032902,특수 목적용 기계 제조업,"9,443,800","4,721,900,000","500",원(KRW),031-427-0710,"경기도 안양시 동안구 흥안대로439번길 55 (관양동, QMC)",일반 기업부,하나금융투자㈜
,215570,크로넥스,137001,자연과학 및 공학 연구개발업,"3,187,500","1,593,750,000","500",원(KRW),02-557-3982,경기도 화성시 팔탄면 주석로778번길 55 ,일반 기업부,하나금융투자㈜
,180060,탑선,032809,기타 전기장비 제조업,"8,006,666","4,003,333,000","500",원(KRW),061-399-1500,전라남도 장성군 동화면 전자농공단지길 32 ,일반 기업부,엔에이치투자증권주식회사
,116100,태양기계,033003,자동차 신품 부품 제조업,"6,239,986","3,119,993,000","500",원(KRW),031-354-9150,경기도 화성시 팔탄면 푸른들판로 843-24 ,일반 기업부,신한금융투자㈜
